STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPEND_SOURCE,Expenditure source,SPENDING_TYPE,Spending type,PROGRAMME_TYPE,Programme type,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CURRENCY,Currency,BASE_PER,Base period
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Social expenditure aggregates,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,1990,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Social expenditure aggregates,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,1991,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Social expenditure aggregates,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,1992,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Social expenditure aggregates,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,1993,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Social expenditure aggregates,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,1994,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Social expenditure aggregates,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,1995,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Social expenditure aggregates,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,1996,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Social expenditure aggregates,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,1997,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Social expenditure aggregates,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,1998,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),Social expenditure aggregates,I,USA,United States,A,Annual,SOCX,Social expenditure,PT_B1GQ,Percentage of GDP,ES10,Public,K,In kind spending,TP31,Incapacity related,_Z,Not applicable,1999,,,,M,Missing value; data cannot exist,0,Units,1,One,_Z,Not applicable,,
