country,iso2c,iso3c,year,NY.GDP.PCAP.PP.KD
Australia,AU,AUS,2023,60684.9596204883
Australia,AU,AUS,2022,60029.1329190733
Australia,AU,AUS,2021,58327.4146842325
Australia,AU,AUS,2020,57260.4650530108
Australia,AU,AUS,2019,58048.6188420831
Australia,AU,AUS,2018,57647.8455068105
Australia,AU,AUS,2017,56881.8569859104
Australia,AU,AUS,2016,56529.951824687
Australia,AU,AUS,2015,55879.9958817103
Australia,AU,AUS,2014,55489.068844146
Australia,AU,AUS,2013,54895.0052588984
Australia,AU,AUS,2012,54403.8836902433
Australia,AU,AUS,2011,53257.0473237603
Australia,AU,AUS,2010,52739.2681556133
Australia,AU,AUS,2009,52407.9115378584
Australia,AU,AUS,2008,52473.3819160773
Australia,AU,AUS,2007,51663.2403953881
Australia,AU,AUS,2006,50693.7248649798
Australia,AU,AUS,2005,49997.0664953941
Australia,AU,AUS,2004,49061.2761503925
Australia,AU,AUS,2003,47581.2285345879
Australia,AU,AUS,2002,46688.3947760633
Australia,AU,AUS,2001,45428.2000837579
Australia,AU,AUS,2000,45099.0752097084
Australia,AU,AUS,1999,43899.073794405
Australia,AU,AUS,1998,42257.1718122395
Australia,AU,AUS,1997,40773.5660516518
Australia,AU,AUS,1996,39663.1617728168
Australia,AU,AUS,1995,38653.3366778657
Australia,AU,AUS,1994,37622.6524772939
Australia,AU,AUS,1993,36533.1468283451
Australia,AU,AUS,1992,35426.2848289008
Australia,AU,AUS,1991,35670.6678637309
Australia,AU,AUS,1990,36267.7410592234
Canada,CA,CAN,2023,57517.4431587432
Canada,CA,CAN,2022,58321.0611834624
Canada,CA,CAN,2021,56995.1176781351
Canada,CA,CAN,2020,54092.8790317796
Canada,CA,CAN,2019,57583.845798092
Canada,CA,CAN,2018,57337.4909099991
Canada,CA,CAN,2017,56612.3285367448
Canada,CA,CAN,2016,55606.1549191947
Canada,CA,CAN,2015,55660.8675272614
Canada,CA,CAN,2014,55723.4835404159
Canada,CA,CAN,2013,54712.178423981
Canada,CA,CAN,2012,54034.8034751988
Canada,CA,CAN,2011,53681.1296700569
Canada,CA,CAN,2010,52558.4408142168
Canada,CA,CAN,2009,51552.4223837895
Canada,CA,CAN,2008,53711.6792064975
Canada,CA,CAN,2007,53761.8620298113
Canada,CA,CAN,2006,53195.781842155
Canada,CA,CAN,2005,52356.5578038534
Canada,CA,CAN,2004,51210.6796118735
Canada,CA,CAN,2003,50139.7862347007
Canada,CA,CAN,2002,49695.0066909867
Canada,CA,CAN,2001,48774.1675534138
Canada,CA,CAN,2000,48399.3055389359
Canada,CA,CAN,1999,46464.5457841559
Canada,CA,CAN,1998,44553.2827303697
Canada,CA,CAN,1997,43241.2407061887
Canada,CA,CAN,1996,41880.5520989428
Canada,CA,CAN,1995,41617.7233238779
Canada,CA,CAN,1994,40952.1359325297
Canada,CA,CAN,1993,39622.4790617509
Canada,CA,CAN,1992,39023.182197815
Canada,CA,CAN,1991,39139.3122852292
Canada,CA,CAN,1990,40475.1123914259
Denmark,DK,DNK,2023,69379.22000847
Denmark,DK,DNK,2022,69475.3198650883
Denmark,DK,DNK,2021,69715.1809680929
Denmark,DK,DNK,2020,65744.4367251959
Denmark,DK,DNK,2019,67131.4657009734
Denmark,DK,DNK,2018,66238.705427981
Denmark,DK,DNK,2017,65352.3988081353
Denmark,DK,DNK,2016,63823.4502019665
Denmark,DK,DNK,2015,62405.7161942122
Denmark,DK,DNK,2014,61552.7997775157
Denmark,DK,DNK,2013,61085.0312821103
Denmark,DK,DNK,2012,60497.6919146995
Denmark,DK,DNK,2011,60729.0557255127
Denmark,DK,DNK,2010,60190.6346060499
Denmark,DK,DNK,2009,59516.5093273659
Denmark,DK,DNK,2008,62968.1612290596
Denmark,DK,DNK,2007,63604.5626658193
Denmark,DK,DNK,2006,63262.7404572232
Denmark,DK,DNK,2005,61137.6803582961
Denmark,DK,DNK,2004,59893.0929898784
Denmark,DK,DNK,2003,58425.9658939096
Denmark,DK,DNK,2002,58327.8281608342
Denmark,DK,DNK,2001,58248.553927359
Denmark,DK,DNK,2000,57907.5020603903
Denmark,DK,DNK,1999,56015.3553380174
Denmark,DK,DNK,1998,54581.4122543301
Denmark,DK,DNK,1997,53534.6146433982
Denmark,DK,DNK,1996,52106.5619034914
Denmark,DK,DNK,1995,50927.5478357083
Denmark,DK,DNK,1994,49684.138577862
Denmark,DK,DNK,1993,47345.4134295964
Denmark,DK,DNK,1992,47540.9254822308
Denmark,DK,DNK,1991,46752.671630889
Denmark,DK,DNK,1990,46200.4747957389
Finland,FI,FIN,2023,56250.8787899319
Finland,FI,FIN,2022,57068.3056478074
Finland,FI,FIN,2021,56790.3766177692
Finland,FI,FIN,2020,55424.8574989208
Finland,FI,FIN,2019,56922.4873163103
Finland,FI,FIN,2018,56226.337241343
Finland,FI,FIN,2017,55637.2262781223
Finland,FI,FIN,2016,53984.6316254715
Finland,FI,FIN,2015,52782.4873926277
Finland,FI,FIN,2014,52710.7334867778
Finland,FI,FIN,2013,53183.4286685126
Finland,FI,FIN,2012,53957.6680986279
Finland,FI,FIN,2011,55053.3906850323
Finland,FI,FIN,2010,54017.9458623339
Finland,FI,FIN,2009,52599.1487066911
Finland,FI,FIN,2008,57494.585352886
