country,iso2c,iso3c,year,SP.POP.65UP.TO.ZS
Australia,AU,AUS,2023,17.384024966198
Australia,AU,AUS,2022,17.0750320469828
Australia,AU,AUS,2021,16.7491873637801
Australia,AU,AUS,2020,16.3387202762794
Australia,AU,AUS,2019,15.9450637793133
Australia,AU,AUS,2018,15.6409676060892
Australia,AU,AUS,2017,15.3876130191621
Australia,AU,AUS,2016,15.1508163000494
Australia,AU,AUS,2015,14.8994580007134
Australia,AU,AUS,2014,14.6343933904119
Australia,AU,AUS,2013,14.366324406492
Australia,AU,AUS,2012,14.0880460046549
Australia,AU,AUS,2011,13.7988147123359
Australia,AU,AUS,2010,13.529289383836
Australia,AU,AUS,2009,13.314903986414
Australia,AU,AUS,2008,13.1772880283573
Australia,AU,AUS,2007,13.0875642584234
Australia,AU,AUS,2006,12.9925124181303
Australia,AU,AUS,2005,12.8849948927024
Australia,AU,AUS,2004,12.7707524793261
Australia,AU,AUS,2003,12.6574144611296
Australia,AU,AUS,2002,12.5526508705762
Australia,AU,AUS,2001,12.4439665253031
Australia,AU,AUS,2000,12.3380926593329
Australia,AU,AUS,1999,12.2516780952874
Australia,AU,AUS,1998,12.1659872192484
Australia,AU,AUS,1997,12.0692816029257
Australia,AU,AUS,1996,11.9629320621902
Australia,AU,AUS,1995,11.8465581022787
Australia,AU,AUS,1994,11.7247788628465
Australia,AU,AUS,1993,11.5793590567599
Australia,AU,AUS,1992,11.4135225482218
Australia,AU,AUS,1991,11.2374625014965
Australia,AU,AUS,1990,11.0586596122525
Canada,CA,CAN,2023,19.3581192161771
Canada,CA,CAN,2022,18.9407471303288
Canada,CA,CAN,2021,18.4822592321013
Canada,CA,CAN,2020,17.9854084818723
Canada,CA,CAN,2019,17.5318595224519
Canada,CA,CAN,2018,17.1296813071885
Canada,CA,CAN,2017,16.7582136912329
Canada,CA,CAN,2016,16.3881021891164
Canada,CA,CAN,2015,16.0101997556659
Canada,CA,CAN,2014,15.623244184631501
Canada,CA,CAN,2013,15.2286887935879
Canada,CA,CAN,2012,14.8206990584527
Canada,CA,CAN,2011,14.4296808152056
Canada,CA,CAN,2010,14.1094023482861
Canada,CA,CAN,2009,13.8518496981519
Canada,CA,CAN,2008,13.6209286442365
Canada,CA,CAN,2007,13.4074353506841
Canada,CA,CAN,2006,13.2121185240005
Canada,CA,CAN,2005,13.0466474392723
Canada,CA,CAN,2004,12.9167916368003
Canada,CA,CAN,2003,12.8045900297652
Canada,CA,CAN,2002,12.7070290689936
Canada,CA,CAN,2001,12.6230053671836
Canada,CA,CAN,2000,12.536309389257701
Canada,CA,CAN,1999,12.4442001917322
Canada,CA,CAN,1998,12.3428066750941
Canada,CA,CAN,1997,12.2215496950024
Canada,CA,CAN,1996,12.0896719713915
Canada,CA,CAN,1995,11.9590423091733
Canada,CA,CAN,1994,11.831707764212
Canada,CA,CAN,1993,11.7045627538511
Canada,CA,CAN,1992,11.5677583059081
Canada,CA,CAN,1991,11.41263105127
Canada,CA,CAN,1990,11.2396227452206
Denmark,DK,DNK,2023,20.6001829312424
Denmark,DK,DNK,2022,20.4007400764725
Denmark,DK,DNK,2021,20.2481262517018
Denmark,DK,DNK,2020,20.0008145375227
Denmark,DK,DNK,2019,19.7143802297606
Denmark,DK,DNK,2018,19.4403886413888
Denmark,DK,DNK,2017,19.1822684091773
Denmark,DK,DNK,2016,18.9425702764271
Denmark,DK,DNK,2015,18.7039395633233
Denmark,DK,DNK,2014,18.4155552098464
Denmark,DK,DNK,2013,18.0533476868912
Denmark,DK,DNK,2012,17.6035443304634
Denmark,DK,DNK,2011,17.0763558660448
Denmark,DK,DNK,2010,16.5574489274022
Denmark,DK,DNK,2009,16.1019309009513
Denmark,DK,DNK,2008,15.735788408074
Denmark,DK,DNK,2007,15.4557349146506
Denmark,DK,DNK,2006,15.2481599729283
Denmark,DK,DNK,2005,15.0928272794378
Denmark,DK,DNK,2004,14.9629722691678
Denmark,DK,DNK,2003,14.8698837174681
Denmark,DK,DNK,2002,14.817030784647
Denmark,DK,DNK,2001,14.8038992854408
Denmark,DK,DNK,2000,14.8179045532594
Denmark,DK,DNK,1999,14.8541769486488
Denmark,DK,DNK,1998,14.9140163136738
Denmark,DK,DNK,1997,14.9921429091766
Denmark,DK,DNK,1996,15.0922427755066
Denmark,DK,DNK,1995,15.2319160157146
Denmark,DK,DNK,1994,15.365191758771
Denmark,DK,DNK,1993,15.4621917085354
Denmark,DK,DNK,1992,15.5414419436872
Denmark,DK,DNK,1991,15.5809531163468
Denmark,DK,DNK,1990,15.5874849859707
Finland,FI,FIN,2023,23.5778747195571
Finland,FI,FIN,2022,23.2287672110978
Finland,FI,FIN,2021,22.8749565743109
Finland,FI,FIN,2020,22.4906828905898
Finland,FI,FIN,2019,22.061393842071
Finland,FI,FIN,2018,21.6154814502107
Finland,FI,FIN,2017,21.1457473282604
Finland,FI,FIN,2016,20.6838033296157
Finland,FI,FIN,2015,20.2090618722589
Finland,FI,FIN,2014,19.6661048130943
Finland,FI,FIN,2013,19.0733570715343
Finland,FI,FIN,2012,18.4499585932434
Finland,FI,FIN,2011,17.8213910625007
Finland,FI,FIN,2010,17.2594164785613
Finland,FI,FIN,2009,16.8796258150036
Finland,FI,FIN,2008,16.629047778842
Finland,FI,FIN,2007,16.4860618184775
Finland,FI,FIN,2006,16.2327000834465
Finland,FI,FIN,2005,15.9351969717591
Finland,FI,FIN,2004,15.722183075154
Finland,FI,FIN,2003,15.4567323140138
Finland,FI,FIN,2002,15.2453992330805
Finland,FI,FIN,2001,15.0767515855428
Finland,FI,FIN,2000,14.9164594925449
Finland,FI,FIN,1999,14.7704798513837
Finland,FI,FIN,1998,14.6626071979925
Finland,FI,FIN,1997,14.5498718366513
Finland,FI,FIN,1996,14.3982989107788
Finland,FI,FIN,1995,14.2161612671296
Finland,FI,FIN,1994,14.0121905288213
Finland,FI,FIN,1993,13.8314724499121
Finland,FI,FIN,1992,13.6867561206057
Finland,FI,FIN,1991,13.5414289931151
Finland,FI,FIN,1990,13.384948586956
United Kingdom,GB,GBR,2023,19.238129106618
United Kingdom,GB,GBR,2022,18.9303147227989
United Kingdom,GB,GBR,2021,18.7186487679579
United Kingdom,GB,GBR,2020,18.6057953275723
United Kingdom,GB,GBR,2019,18.457958087858
United Kingdom,GB,GBR,2018,18.2557500676941
United Kingdom,GB,GBR,2017,18.0734136212163
United Kingdom,GB,GBR,2016,17.9162025708266
United Kingdom,GB,GBR,2015,17.7699801979471
United Kingdom,GB,GBR,2014,17.5840843935351
United Kingdom,GB,GBR,2013,17.3279065798855
United Kingdom,GB,GBR,2012,16.9733440416117
United Kingdom,GB,GBR,2011,16.5874649936032
United Kingdom,GB,GBR,2010,16.3383853690104
United Kingdom,GB,GBR,2009,16.1801963230047
United Kingdom,GB,GBR,2008,16.0367055435496
United Kingdom,GB,GBR,2007,15.9485662135398
United Kingdom,GB,GBR,2006,15.9311877692873
United Kingdom,GB,GBR,2005,15.9578367640377
United Kingdom,GB,GBR,2004,15.9607524797213
United Kingdom,GB,GBR,2003,15.944049006037
United Kingdom,GB,GBR,2002,15.931456068173
United Kingdom,GB,GBR,2001,15.9091370627726
United Kingdom,GB,GBR,2000,15.8897578485505
United Kingdom,GB,GBR,1999,15.9046424190137
United Kingdom,GB,GBR,1998,15.9457379399543
United Kingdom,GB,GBR,1997,15.9779916498493
United Kingdom,GB,GBR,1996,15.9936638234577
United Kingdom,GB,GBR,1995,15.9941182331737
United Kingdom,GB,GBR,1994,15.9819872361187
United Kingdom,GB,GBR,1993,15.9763702472184
United Kingdom,GB,GBR,1992,15.9641385979724
United Kingdom,GB,GBR,1991,15.9255736650136
United Kingdom,GB,GBR,1990,15.8723467853831
Ireland,IE,IRL,2023,15.5417068369309
Ireland,IE,IRL,2022,15.16194031114
Ireland,IE,IRL,2021,14.8535759354494
Ireland,IE,IRL,2020,14.5621473419585
Ireland,IE,IRL,2019,14.2437778846663
Ireland,IE,IRL,2018,13.953591703573199
Ireland,IE,IRL,2017,13.6720454120936
Ireland,IE,IRL,2016,13.3920921055483
Ireland,IE,IRL,2015,13.1102542122923
Ireland,IE,IRL,2014,12.7951907142582
Ireland,IE,IRL,2013,12.4475140098686
Ireland,IE,IRL,2012,12.0822402487581
Ireland,IE,IRL,2011,11.7171523074328
Ireland,IE,IRL,2010,11.378359230371
Ireland,IE,IRL,2009,11.0745691427321
Ireland,IE,IRL,2008,10.8486525689537
Ireland,IE,IRL,2007,10.7786980486913
Ireland,IE,IRL,2006,10.8715785725539
Ireland,IE,IRL,2005,11.0134951064717
Ireland,IE,IRL,2004,11.078943779667
Ireland,IE,IRL,2003,11.0840647293282
Ireland,IE,IRL,2002,11.1021211202504
Ireland,IE,IRL,2001,11.1405544060403
Ireland,IE,IRL,2000,11.1884415470003
Ireland,IE,IRL,1999,11.2545839092711
Ireland,IE,IRL,1998,11.3180458430694
Ireland,IE,IRL,1997,11.3533848406683
Ireland,IE,IRL,1996,11.3764594233517
Ireland,IE,IRL,1995,11.398519454831
Ireland,IE,IRL,1994,11.4020934741981
Ireland,IE,IRL,1993,11.4030925119445
Ireland,IE,IRL,1992,11.4155829228751
Ireland,IE,IRL,1991,11.4209763854385
Ireland,IE,IRL,1990,11.4059888139446
Norway,NO,NOR,2023,18.5338475896816
Norway,NO,NOR,2022,18.3301335040316
Norway,NO,NOR,2021,18.0740226148213
Norway,NO,NOR,2020,17.7281839266957
Norway,NO,NOR,2019,17.3948556308139
Norway,NO,NOR,2018,17.0853969570307
Norway,NO,NOR,2017,16.7812420495177
Norway,NO,NOR,2016,16.5172709689852
Norway,NO,NOR,2015,16.2747739736493
Norway,NO,NOR,2014,16.0283762490523
Norway,NO,NOR,2013,15.7789144734543
Norway,NO,NOR,2012,15.5274803064487
Norway,NO,NOR,2011,15.2444453507473
Norway,NO,NOR,2010,14.980276783628801
Norway,NO,NOR,2009,14.7801365710407
Norway,NO,NOR,2008,14.6595992828172
Norway,NO,NOR,2007,14.6388412851109
Norway,NO,NOR,2006,14.6741418398994
Norway,NO,NOR,2005,14.7079766841642
Norway,NO,NOR,2004,14.7202178693601
Norway,NO,NOR,2003,14.7617275206592
Norway,NO,NOR,2002,14.8654014729792
Norway,NO,NOR,2001,15.0048176013375
Norway,NO,NOR,2000,15.1610925017374
Norway,NO,NOR,1999,15.3616589048289
Norway,NO,NOR,1998,15.5652512020704
Norway,NO,NOR,1997,15.7215578299729
Norway,NO,NOR,1996,15.8364688415752
Norway,NO,NOR,1995,15.9349895646758
Norway,NO,NOR,1994,16.0268601144665
Norway,NO,NOR,1993,16.1357900600715
Norway,NO,NOR,1992,16.2407301189463
Norway,NO,NOR,1991,16.2926444094943
Norway,NO,NOR,1990,16.3133766260252
New Zealand,NZ,NZL,2023,16.7985801212333
New Zealand,NZ,NZL,2022,16.4463886430602
New Zealand,NZ,NZL,2021,16.0465779436973
New Zealand,NZ,NZL,2020,15.6207179833113
New Zealand,NZ,NZL,2019,15.3016117661383
New Zealand,NZ,NZL,2018,15.0578869326057
New Zealand,NZ,NZL,2017,14.8685528434202
New Zealand,NZ,NZL,2016,14.7113008693955
New Zealand,NZ,NZL,2015,14.5553593182878
New Zealand,NZ,NZL,2014,14.3691784824307
New Zealand,NZ,NZL,2013,14.0864276779802
New Zealand,NZ,NZL,2012,13.6932184397473
New Zealand,NZ,NZL,2011,13.2934135015614
New Zealand,NZ,NZL,2010,12.9832174904356
New Zealand,NZ,NZL,2009,12.7554071459637
New Zealand,NZ,NZL,2008,12.5794026219759
New Zealand,NZ,NZL,2007,12.4172515320195
New Zealand,NZ,NZL,2006,12.2256297316556
New Zealand,NZ,NZL,2005,12.0218553465394
New Zealand,NZ,NZL,2004,11.87567651152
New Zealand,NZ,NZL,2003,11.8224928165
New Zealand,NZ,NZL,2002,11.8311055464421
New Zealand,NZ,NZL,2001,11.8275203073158
New Zealand,NZ,NZL,2000,11.7580764490843
New Zealand,NZ,NZL,1999,11.6696164791818
New Zealand,NZ,NZL,1998,11.5906848218135
New Zealand,NZ,NZL,1997,11.5322813381167
New Zealand,NZ,NZL,1996,11.5151626470738
New Zealand,NZ,NZL,1995,11.5032854769116
New Zealand,NZ,NZL,1994,11.4649269040954
New Zealand,NZ,NZL,1993,11.3933685255762
New Zealand,NZ,NZL,1992,11.2955515961593
New Zealand,NZ,NZL,1991,11.161298913177
New Zealand,NZ,NZL,1990,11.0415476577199
Sweden,SE,SWE,2023,20.5364235623884
Sweden,SE,SWE,2022,20.3419018248482
Sweden,SE,SWE,2021,20.1967832299352
Sweden,SE,SWE,2020,20.0599853974717
Sweden,SE,SWE,2019,19.9506621429353
Sweden,SE,SWE,2018,19.862537160070602
Sweden,SE,SWE,2017,19.8018336203973
Sweden,SE,SWE,2016,19.773834861054
Sweden,SE,SWE,2015,19.6982615865952
Sweden,SE,SWE,2014,19.5210692673755
Sweden,SE,SWE,2013,19.2744218602549
Sweden,SE,SWE,2012,18.9775519929568
Sweden,SE,SWE,2011,18.6361385585896
Sweden,SE,SWE,2010,18.2772882991165
Sweden,SE,SWE,2009,17.9392423059468
Sweden,SE,SWE,2008,17.6463898740767
Sweden,SE,SWE,2007,17.4358344844156
Sweden,SE,SWE,2006,17.3280897136683
Sweden,SE,SWE,2005,17.2765354335417
Sweden,SE,SWE,2004,17.2124300845409
Sweden,SE,SWE,2003,17.16497007121
Sweden,SE,SWE,2002,17.1764203133283
Sweden,SE,SWE,2001,17.2157520077936
Sweden,SE,SWE,2000,17.2641350678943
Sweden,SE,SWE,1999,17.328475104645
Sweden,SE,SWE,1998,17.3958378116036
Sweden,SE,SWE,1997,17.4357166404161
Sweden,SE,SWE,1996,17.4498965111869
Sweden,SE,SWE,1995,17.4600019351253
Sweden,SE,SWE,1994,17.5115344884336
Sweden,SE,SWE,1993,17.6047047752498
Sweden,SE,SWE,1992,17.6822902049807
Sweden,SE,SWE,1991,17.7386477062268
Sweden,SE,SWE,1990,17.7788981625722
United States,US,USA,2023,17.4318194823539
United States,US,USA,2022,16.9196203896458
United States,US,USA,2021,16.4737700238047
United States,US,USA,2020,16.0719119439363
United States,US,USA,2019,15.6728852475003
United States,US,USA,2018,15.2914866245804
United States,US,USA,2017,14.9391233929999
United States,US,USA,2016,14.6147285118987
United States,US,USA,2015,14.3102247136795
United States,US,USA,2014,14.0089266008532
United States,US,USA,2013,13.7011927174869
United States,US,USA,2012,13.3766080380696
United States,US,USA,2011,13.0663304653738
United States,US,USA,2010,12.8447616637143
United States,US,USA,2009,12.6710930384686
United States,US,USA,2008,12.4866608131465
United States,US,USA,2007,12.310107950036
United States,US,USA,2006,12.1840000918956
United States,US,USA,2005,12.1307281353119
United States,US,USA,2004,12.1109989202413
United States,US,USA,2003,12.103110972241
United States,US,USA,2002,12.113268087791
United States,US,USA,2001,12.1410204340048
United States,US,USA,2000,12.1858169904893
United States,US,USA,1999,12.2408686816707
United States,US,USA,1998,12.3014879807447
United States,US,USA,1997,12.3542498411949
United States,US,USA,1996,12.3882659963334
United States,US,USA,1995,12.4053596836067
United States,US,USA,1994,12.4074406532205
United States,US,USA,1993,12.4064404858196
United States,US,USA,1992,12.3867401310392
United States,US,USA,1991,12.3519332841069
United States,US,USA,1990,12.3050798148742
